Home,Away,Stronger Team,Your Team,Home Formation,Away Formation,Home Style of play,Home Marking,Home Offside trap,Home Tackling,Away Style of play,Away Marking,Away Offside trap,Away Tackling,Home Training Camp,Away Training Camp,Line Tactic-FW,Line Tactic-MF,Line Tactic-DF,Pressing,Style,Tempo,Home Posession,Away Possesion,Home Goals,Away Goals,Home Shots,Away Shots,TIP,Result,Your Result
Persib,PSIS,Away,Away,4-3-3 A,4-3-3 B,Passing game,Man marking,Yes,Normal,Shoot on sight,Zonal marking,No,Careful,No,No,Attack only,Push Forward,Defend deep,66,78,66,30,70,0,3,5,15,,Away Wins,You won
Reading,Swansea,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Aggresive,No,No,Attack only,Push Forward,Defend deep,73,71,71,35,65,0,3,5,11,,Away Wins,You won
Schalke,Bayer Leverkusen,Away,Home,4-5-1,4-3-3 A,Shoot on sight,Zonal marking,Yes,Careful,Shoot on sight,Man marking,No,Aggresive,No,No,Attack only,Protect the defence,Defend deep,40,20,50,60,40,0,0,10,4,Liking that Style of play with this Formation. I think the players enjoyed it too!,Draw,Draw
Real Sociedad,Osasuna,Away,Away,4-2-3-1,6-3-1 B,Shoot on sight,Zonal marking,No,Aggresive,Counter-attack,Zonal marking,No,Careful,No,No,Attack only,Push Forward,Defend deep,62,62,76,39,61,0,1,3,7,"Purely looking at the back line, not using the Offside trap played out well against this opponent!",Away Wins,You won
PSIS,Persebaya,Home,Home,4-3-3 A,4-3-3 B,Wing play,Zonal marking,No,Careful,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Push Forward,Defend deep,65,78,66,65,35,5,0,18,8,"This is the way it should be in my opinion, an attacking Style against an opponent with less quality!",Home Wins,You Won
Werder Bremen,Schalke,Away,Away,5-3-1-1,4-4-2 B,Shoot on sight,Zonal marking,No,Aggresive,Passing game,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,65,72,65,43,57,0,1,8,10,Zonal marking against these forwards? I think it was the right call!,Away Wins,You won
Swansea,Luton Town,Home,Home,3-3-4 B,3-3-4 A,Wing play,Zonal marking,Yes,Aggresive,Long ball,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,77,78,78,66,34,6,0,20,4,,Home Wins,You Won
Osasuna,Valencia,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Careful,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Push Forward,Defend deep,75,75,59,66,34,6,0,18,3,Well played by the team and the manager. A win and dictating possession!,Home Wins,You Won
Schalke,Freiburg,Home,Home,4-4-2 B,3-3-2-2,Passing game,Zonal marking,No,Normal,Shoot on sight,Zonal marking,Yes,Normal,No,No,Attack only,Stay in position,Attacking full-backs,75,75,75,65,35,5,0,14,3,,Home Wins,You Won
PSIS,Madura United,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Careful,Wing play,Man marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,75,75,59,63,37,3,0,17,6,Liking that Style of play with this Formation. I think the players enjoyed it too!,Home Wins,You Won
Rotherham United,Swansea,Home,Away,4-2-3-1,6-3-1 B,Passing game,Zonal marking,No,Normal,Counter-attack,Zonal marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,78,78,78,34,66,0,2,3,10,Well played by the team and the manager. A win and dictating possession!,Away Wins,You won
Athletic Bilbao,Osasuna,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Careful,No,No,Attack only,Push Forward,Defend deep,75,75,75,46,54,1,2,7,8,,Away Wins,You won
Dewa United,PSIS,Away,Away,4-3-3 A,4-3-3 B,Passing game,Man marking,No,Normal,Shoot on sight,Zonal marking,No,Careful,No,No,Attack only,Push Forward,Defend deep,75,75,75,29,71,1,2,3,14,,Away Wins,You won
Swansea,Blackpool,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Normal,Wing play,Man marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,69,67,73,65,35,5,0,19,4,,Home Wins,You Won
Union Berlin,Schalke,Away,Away,4-3-3 A,4-3-3 B,Passing game,Man marking,No,Normal,Shoot on sight,Zonal marking,No,Careful,No,No,Attack only,Push Forward,Defend deep,75,75,75,37,63,0,1,6,11,,Away Wins,You won
Osasuna,Barcelona,Home,Home,4-3-3 A,4-3-3 B,Wing play,Zonal marking,No,Aggresive,Passing game,Man marking,Yes,Careful,No,No,Attack only,Stay in position,Defend deep,65,77,66,61,39,1,0,17,6,Good job instructing the players to go easy on the Tackling. Definitely with this trigger-happy referee!,Home Wins,You Won
Schalke,RB Leipzig,Home,Home,4-3-3 B,3-3-4 A,Wing play,Zonal marking,No,Normal,Shoot on sight,Zonal marking,Yes,Reckless,No,No,Attack only,Stay in position,Defend deep,75,75,75,62,38,2,1,14,7,Luckily this referee can handle that kind of Tackling. Great fit!,Home Wins,You Won
PSIS,PSM,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Aggresive,Wing play,Man marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,75,75,75,66,34,6,0,20,5,,Home Wins,You Won
